cuartos,distancia_al_centro_km,m2_terreno,monto_recibo_de_luz,precio
3.0,28.851679060682955,147.5344468333845,1953.0828993328926,3424915.245479906
4.0,25.993369113591804,150.81467023293658,1537.9579225752695,3896472.959150749
3.0,34.64555850268733,162.30820282570028,1080.837612637456,3735364.8027744098
4.0,12.678020138900566,104.71919796337772,1147.1428290020456,2714817.346989873
4.0,23.645491333868897,153.699174007551,1325.4080331540345,3771647.5489979363
4.0,20.74150239249543,123.95350152574403,1039.101801511518,2901995.642740417
3.0,34.98321554187034,156.97237200025043,1142.1726204127128,3520179.4657842815
3.0,33.67568998987446,168.57590073372347,1892.5598920142806,3927599.1437149337
3.0,24.23068238796398,148.45967618697807,1463.5128049993364,3182881.976159816
4.0,26.971600651529027,172.98125202289327,971.8476623124482,3959327.0796771147
4.0,21.369430788440305,107.68545714025021,1636.3167534122538,2709724.1296047596
4.0,26.17881033645188,176.34436244934273,1768.8395253377112,3876145.9173706016
4.0,30.055935308530767,96.90472288102893,1268.4586618022247,3237423.107883097
3.0,26.560032766110577,112.19410890958397,1447.4894178936722,2764048.9469536743
4.0,22.94393488227367,145.22683542836955,1487.2302756850859,3334140.278760458
4.0,30.633377822305828,136.8605917203658,1319.774496142178,3507034.929196218
3.0,30.965706916039373,116.17682415116747,1233.3435661775707,3014311.123163678
3.0,30.80279500166373,166.74424265417238,1154.305890036364,3614007.24224974
4.0,19.110093901160095,170.2498288602493,1252.6053123142422,3741114.2746303948
4.0,12.785901744129921,123.06043301596154,1671.9718654565133,2875081.110032089
4.0,15.241638116776775,165.05740884109758,1698.1904115791276,3685397.446808112
3.0,27.36888704386817,133.2958844456308,1723.0227069121795,2903220.388741946
4.0,16.372583603963125,120.32668178122367,1328.839622171981,2814829.5967760007
4.0,46.01199674758702,132.765502381371,1393.2532987642676,4422748.361055642
3.0,25.818170912744435,127.04121853191758,1663.4221110309104,2999589.2436663285
4.0,24.082037080234393,104.4560696482196,1358.2160619564195,2855443.8611194403
4.0,24.9496541028659,156.13755430784346,1281.3268618682819,3621188.2158559053
