Edad,Estado_residencia,Estado_nacimiento,Nombre_trabajo,Vacunado
55.13847597710812,Sinaloa,Jalisco,Médico,0
37.03590306792379,Jalisco,Jalisco,Médico,1
53.21665670707459,Jalisco,Sinaloa,Chef,0
55.47497144954125,Jalisco,Sinaloa,Policía,1
53.69281176695752,Jalisco,Jalisco,Médico,1
54.71270372434933,Jalisco,Jalisco,Médico,1
54.15822343719268,Jalisco,Sinaloa,Policía,0
54.45556510854116,Sinaloa,Sinaloa,Policía,0
54.68539479849498,Sinaloa,Sinaloa,Médico,1
54.79943206571526,Sinaloa,Sinaloa,Médico,0
55.22509937720511,Sinaloa,Sinaloa,Médico,0
49.85501420969305,Jalisco,Sinaloa,Policía,0
54.05816048607471,Sinaloa,Sinaloa,Médico,0
34.22200605189583,Jalisco,Jalisco,Médico,1
50.3752783224879,Jalisco,Sinaloa,Policía,1
51.8642307747982,Sinaloa,Jalisco,Médico,0
53.941826616062954,Sinaloa,Jalisco,Médico,0
39.34447367942279,Jalisco,Sinaloa,Médico,1
55.1893290960189,Sinaloa,Sinaloa,Policía,0
52.43037580309832,Jalisco,Sinaloa,Policía,1
50.90971848709049,Jalisco,Jalisco,Médico,1
53.22910477090972,Jalisco,Sinaloa,Médico,1
50.47627695923784,Jalisco,Sinaloa,Médico,1
60.71738002664808,Sinaloa,Sinaloa,Médico,0
53.33830660220651,Jalisco,Sinaloa,Policía,0
34.96404144070241,Jalisco,Sinaloa,Médico,1
52.623397969527694,Sinaloa,Sinaloa,Médico,1
52.058290063305805,Jalisco,Jalisco,Policía,0
51.85370023083116,Sinaloa,Jalisco,Médico,0
50.05338799334298,Jalisco,Sinaloa,Médico,1
50.72294042128728,Sinaloa,Jalisco,Médico,0
45.58174235343898,Jalisco,Sinaloa,Policía,1
47.55898079779482,Jalisco,Sinaloa,Profesor,0
50.88863529981065,Sinaloa,Sinaloa,Policía,0
54.487610735319215,Sinaloa,Jalisco,Médico,1
47.90167778173415,Jalisco,Jalisco,Policía,1
43.59986026003756,Jalisco,Jalisco,Médico,1
47.58753173231984,Sinaloa,Sinaloa,Policía,0
